17:32; операция : (2+1j) + (2+1j) результат : (4+2j)
17:34; операция : (2+1j) * (2+1j) результат : (3+4j)
17:39; операция : (5+3j) / (2+2j) результат : (2-0.5j)
14:52; операция : (11+0j) 1 (1+0j) результат : Ошибка деления на 0!
15:23; операция : 1228254443828317/2251799813685248 + 1228254443828317/4503599627370496 результат : 3684763331484951/4503599627370496
15:28; операция : 6/11 + 3/11 результат : 9/11
15:29; операция : 5/11 + 4/11 результат : 9/11
15:29; операция : 5/11 * 4/11 результат : 20/121
22:45; операция : 5 + 6 результат : 11
22:46; операция : (3+2j) + (5+5j) результат : (8+7j)
22:46; операция : (5+0j) + (6+0j) результат : (11+0j)
